ID,Plant Name,Latin Name,Water Level,Sunlight Level
49,"Yarrow, Boreal yarrow, California yarrow, Giant yarrow, Coast yarrow, Western yarrow, Pacific yarrow",Achillea millefolium,DM,SN
50,Siberian Yarrow,Achillea sibirica,DM,N
51,Alpine Calamint,Acinos alpinus,DM,N
52,Basil Thyme,Acinos arvensis,DM,N
53,,Acinos rotundifolius,DM,N
54,"Toothache plant, Paracress",Acmella oleracea,M,N
55,"Japanese Aconite, Carmichael's monkshood",Aconitum carmichaelii,M,SN
56,,Aconitum japonicum,M,SN
57,Korean Monk's Hood,Aconitum koreanum,M,SN
58,Wolfbane,Aconitum lycoctonum vulparia,M,SN
59,"Aconite, Venus' chariot, Wolfsbane Garden, Monk's Hood Garden",Aconitum napellus,M,SN
60,,Aconitum septentrionale,M,SN
61,"Pink Cedar, Shingle Tree",Acrocarpus fraxinifolius,M,N
62,"Coyoli Palm. Gru-Gru Palm, Macaw palm",Acrocomia aculeata,DM,N
63,White Baneberry,Actaea pachypoda,M,S
64,Red Baneberry,Actaea rubra,M,FS
65,Tara Vine,Actinidia arguta,M,SN
66,,Actinidia arguta cordifolia,M,SN
67,,Actinidia arguta rufa,M,SN
68,,Actinidia arisanensis,M,SN
69,,Actinidia callosa formosana,M,SN
70,,Actinidia callosa henryi,M,SN
71,,Actinidia callosa indochinensis,M,SN
72,,Actinidia callosa pubescens,M,SN
73,,Actinidia coriacea,M,SN
74,Kiwi Fruit,Actinidia deliciosa,M,SN
75,,Actinidia eriantha,M,SN
76,,Actinidia fortunatii,M,SN
77,,Actinidia giraldii,M,SN
78,,Actinidia hemsleyana,M,SN
79,,Actinidia hypoleuca,M,SN
80,,Actinidia kolomikta gagnepainii,M,SN
81,,Actinidia latifolia,M,SN
82,Red Kiwi,Actinidia melanandra,M,SN
83,,Actinidia pilosula,M,SN
84,Silver Vine,Actinidia polygama,M,SN
85,,Actinidia polygama lecomtei,M,SN
86,Purple hardy kiwi,Actinidia purpurea,M,SN
87,,Actinidia sabiifolia,M,SN
88,,Actinidia tetramera,M,SN
89,,Actinidia trichogyna,M,SN
90,,Actinidia venosa,M,SN
91,"Baobab, Judas Fruit, Monkey Bread Tree",Adansonia digitata,DM,N
92,"Red Sandalwood, Coral Tree",Adenanthera pavonina,M,N
93,,Adenophora denticulata,M,N
94,,Adenophora divaricata,M,N
95,,Adenophora latifolia,M,N
96,"Ladybells,  Lilyleaf",Adenophora liliifolia,M,N
97,,Adenophora nikoensis,M,N
98,,Adenophora remotiflora,M,N
99,,Adenophora verticillata,M,SN
100,"Pingwing. Ixtle, Pita plant",Aechmea magdalenae,M,FS
101,1,12345678910,8,7
102,"Sweet Buckeye, Yellow buckeye",Aesculus flava,M,SN
103,"Horse Chestnut, European Horsechestnut, Common  Horsechestnut",Aesculus hippocastanum,DM,SN
104,Bottlebrush buckeye,Aesculus parviflora,M,FSN
105,Japanese Horse Chestnut,Aesculus turbinata,M,SN
106,Nigerian Powder-Flask Fruit. African afraegle,Afraegle paniculata,DM,N
107,African Mahogany,Afzelia africana,MWe,N
108,"Makha Tree, Cambodia Beng Tree",Afzelia xylocarpa,M,N
109,"African Lily, Lily of the nile",Agapanthus africanus,M,SN
110,,Agapanthus campanulatus,M,SN
111,,Agapanthus praecox minimus,M,SN
112,"Anise Hyssop, Blue giant hyssop",Agastache foeniculum,DM,N
113,"New Mexico Giant Hyssop, Bill Williams Mountain giant hyssop",Agastache neomexicana,DM,N
114,"Giant Hyssop, Nettleleaf giant hyssop",Agastache urticifolia,DM,N
115,Amboina Pine,Agathis dammara,M,FSN
116,Dakua,Agathis macrophylla,M,FSN
117,"Pacific Kauri, Moore Kauri",Agathis moorei,M,FSN
118,"Agave, American century plant",Agave americana,DM,N
119,Agave,Agave cantala agave,DM,N
120,Henequen,Agave fourcroydes,DM,N
121,"Ixtle, Chihuahua",Agave lechuguilla,DM,N
122,"Pulque Agave, Giant Agave",Agave salmiana,DM,N
123,Sisal,Agave sisalana,DM,SN
124,"Blue Agave, Mescal, Tequila.",Agave tequilana,D,N
125,Mescal Casero,Agave vivipara,DM,N
126,"Ageratum, Bluemink, Floss Flower,  Garden",Ageratum houstonianum,DM,N
127,"Mountain Dandelion, Pale agoseris, False agoseris",Agoseris glauca,DM,N
128,"Agrimony, Churchsteeples",Agrimonia eupatoria,DM,SN
129,Hairy Agrimony,Agrimonia pilosa,DM,SN
130,Browntop Bent Grass,Agrostis capillaris,WeM,SN
131,Tree Of Heaven,Ailanthus altissima,DMWe,SN
132,Australian Bugle,Ajuga australis,DM,N
133,"Akebia, Chocolate vine, Fiveleaf Akebia, Chocolate Vine",Akebia quinata,M,FSN
134,"Akebia, Threeleaf  Akebia",Akebia trifoliata,M,FSN
135,,Alangium chinense,M,N
136,Alangium,Alangium platanifolium,M,N
137,"Mimosa, Silktree, Mimosa Tree,",Albizia julibrissin,DM,N
138,"Siris Tree, Woman's Tongue, East Indian Walnut",Albizia lebbeck,M,N
139,Potka siris tree,Albizia lucidior,M,SN
140,"White Siris, Tall Albizia, Forest Siris",Albizia procera,M,N
141,Hollyhock,Alcea rosea,DM,N
142,"Alpine Lady's Mantle, Mountain Lady's Mantle",Alchemilla alpina,DM,SN
143,Lady's-mantle,Alchemilla mollis,M,FSN
144,Iporuru,Alchornea castaneifolia,MWe,SN
145,Christmas Bush,Alchornea cordifolia,DMWe,N
146,"Unicorn Root - Colic Root, White colicroot",Aletris farinosa,M,N
147,,Aletris spicata,M,N
148,"Candle Nut, Country Walnut",Aleurites moluccanus,DM,N
149,Manna Tree,Alhagi mannifera,DM,N
150,Camel Thorn,Alhagi maurorum,DM,N
151,,Alisma canaliculatum,WeWa,N
152,"Great Water Plantain, ZE-XIE, European water plantain,  American water plantain, Northern water plan",Alisma plantago-aquatica,WeWa,N
153,"Alkanet, Alkanna",Alkanna tinctoria,DM,SN
154,Vegetable Tallow. Tallow tree,Allanblackia floribunda,M,SN
155,"Mkani, Msambo",Allanblackia stuhlmannii,M,N
156,Garlic Mustard,Alliaria petiolata,MWe,FS
157,,Allium akaka,DM,N
158,Babington's Leek,Allium ampeloprasum babingtonii,DM,N
159,"Aspen Onion,  Twincrest onion",Allium bisceptrum,M,N
160,Bolander's Onion,Allium bolanderi,M,N
161,,Allium carolinianum,DM,N
162,"Onion, Garden onion",Allium cepa,M,N
163,Shallot,Allium cepa ascalonicum,M,N
164,Rakkyo,Allium chinense,M,N
165,Douglas' Onion,Allium douglasii,DM,N
166,"Prairie Onion, Drummond's onion",Allium drummondii,M,N
167,,Allium geyeri tenerum,M,N
168,,Allium ledebourianum,M,N
169,,Allium macleanii,M,N
170,Largeflower Wild Onion,Allium macropetalum,M,N
171,Wild Onion,Allium mutabile,M,N
172,Broadstemmed Onion,Allium platycaule,DM,N
173,Chinese Chives,Allium ramosum,DM,N
174,,Allium rubellum,DM,N
175,"Garlic, Cultivated garlic",Allium sativum,DM,N
176,Giant Chives,Allium schoenoprasum sibiricum,M,SN
177,,Allium scorodoprasum rotundum,M,SN
178,German Garlic,Allium senescens,DM,N
179,Miyama-Rakkyo,Allium splendens,M,N
180,Textile Onion,Allium textile,DM,N
181,One-Leaved Onion,Allium unifolium,DM,N
182,"Alpine Leek, Victory onion",Allium victorialis,DM,N
183,Alder,Alnus acuminata,M,SN
184,Italian Alder,Alnus cordata,DMWe,SN
185,"Alder, European alder , Common Alder, Black  Alder",Alnus glutinosa,MWe,SN
186,,Alnus hirsuta,MWe,SN
187,"Mexican alder, Evergreen Alder",Alnus jorullensis,MWe,SN
188,"Red Alder, Oregon Alder",Alnus rubra,MWe,SN
189,Speckled Alder,Alnus rugosa,MWe,SN
190,Sitka Alder,Alnus sinuata,MWe,SN
191,"Mountain Alder, Thinleaf alder",Alnus tenuifolia,MWe,SN
192,American Green Alder,Alnus viridis crispa,MWe,SN
193,"Giant Taro, Giant Elephant Ear",Alocasia macrorrhizos,M,FSN
194,"Candelabra Aloe, Tree Aloe, Mountain Bush Aloe",Aloe arborescens,DM,SN
195,Aloe,Aloe camperi,D,SN
196,"Cape Aloe, Bitter Aloe, Red Aloe, Cape Aloe, Alligator Jaw Aloe",Aloe ferox,D,N
197,Tanzanian Aloe,Aloe macrosiphon,D,SN
198,"Aloe Vera, Barbados aloe, First Aid Plant, Medicinal  Aloe",Aloe vera,DM,N
199,"Shortawn Foxtail,  Sonoma shortawn foxtail",Alopecurus aequalis,MWe,SN
200,"Lemon Verbena, Lemon beebrush",Aloysia citriodora,DM,SN
201,Peruvian Lily,Alstroemeria aurea,M,SN
202,Purple-spot parrot-lily,Alstroemeria haemantha,M,SN
203,"Alstroemeria, St. Martin's Flower",Alstroemeria ligtu,DM,SN
204,Palm-leaf marshmallow,Althaea cannabina,DM,N
205,"Marsh Mallow, Common marshmallow",Althaea officinalis,DM,N
206,"Slender Amaranth,  Purple amaranth",Amaranthus blitum,M,N
207,"Purple Amaranth, Red amaranth",Amaranthus cruentus,M,N
208,"Rough Pigweed,  Slim amaranth",Amaranthus hybridus,M,N
209,"Prince's Feather, Prince-of-wales feather",Amaranthus hypochondriacus,M,N
210,,Amaranthus mangostanus,M,N
211,Ataco,Amaranthus quitensis,M,N
212,Indehiscent Pigweed,Amaranthus standleyanus,M,N
213,"Chinese Spinach, Joseph's-coat, Fountain Plant, Tampala , Summer Poinsettia",Amaranthus tricolor,M,N
214,"Calalu, Slender amaranth",Amaranthus viridis,M,N
215,"Roman Wormwood, Bitterweed, Blackweed, Carrot Weed, Hay Fever Weed, Stickeweed, Tassel Weed, Wild Ta",Ambrosia artemesiifolia,M,SN
216,"Saskatoon, Saskatoon serviceberry, Serviceberry",Amelanchier alnifolia,M,SN
217,Cusick's Serviceberry,Amelanchier alnifolia cusickii,M,SN
218,Pacific Serviceberry,Amelanchier alnifolia semiintegrifolia,M,SN
219,"Downy Serviceberry,  Alabama serviceberry,  Juneberry, Common Serviceberry, Downy Serviceberry",Amelanchier arborea,M,SN
220,Korean Juneberry,Amelanchier asiatica,M,SN
221,Oblongfruit serviceberry,Amelanchier bartramiana,M,SN
222,Dwarf Service-berry,Amelanchier basalticola,M,SN
223,"Juneberry, Canadian serviceberry, Serviceberry Downy, Shadblow, Shadbush, Serviceberry",Amelanchier canadensis,M,SN
224,"Allegheny Shadberry, Allegheny serviceberry, Smooth Serviceberry",Amelanchier laevis,M,SN
225,Apple Serviceberry,Amelanchier lamarckii,M,SN
226,"Snowy Mespilus, Dwarf Garden Serviceberry",Amelanchier ovalis,M,N
227,,Amelanchier ovalis integrifolia,M,SN
228,Pale Serviceberry,Amelanchier pallida,M,SN
229,,Amelanchier spicata,M,SN
230,"Quebec Berry, Running serviceberry",Amelanchier stolonifera,DM,SN
231,"Utah Serviceberry, Coville's serviceberry",Amelanchier utahensis,DM,SN
232,Apple Serviceberry,Amelanchier x grandiflora,M,SN
233,"Visnaga. Khella. Bishop's Weed, Toothpickweed",Ammi visnaga,M,SN
234,"Marram Grass, European beachgrass",Ammophila arenaria,DM,N
235,"Luma, Chilean guava,",Amomyrtus luma,DM,N
236,"Dwarf Indigobush, Dwarf false indigo,  Dwarf  Indigo",Amorpha nana,DM,SN
237,"Devil's Tongue, Devil's Tongue, Snake Plant, Konjac, Konnyaku Potato, Voodoo Lily",Amorphophallus konjac,M,FS
238,"Elephant Yam, Whitespot giant arum",Amorphophallus paeoniifolius,M,SN
239,Mauritanian grass,Ampelodesmos mauritanicus,DM,N
240,"Porcelain Berry, Amur peppervine, Blueberry Climber, Porcelain Berry Vine",Ampelopsis brevipedunculata,M,SN
241,,Ampelopsis japonica,M,SN
242,"Hog Peanut, American hogpeanut",Amphicarpaea bracteata,M,FS
243,Hog Peanut,Amphicarpaea pitcheri,M,FS
244,Tarweed Fiddleneck,Amsinckia lycopsoides,DM,N
245,"Cashew, Caju",Anacardium occidentale,M,N
246,"Galo Nut, Kopi gunung, Tangki leuweung, Belian landak.",Anacolosa frutescens,M,FS
247,Pineapple,Ananas comosus,M,SN
248,"Pearly Everlasting, Western pearly everlasting",Anaphalis margaritacea,DM,SN
249,"Anchusa, Italian bugloss",Anchusa azurea,M,N
250,"Alkanet, Common bugloss",Anchusa officinalis,M,N
251,"Mbohoya, Mwungo-wungo.",Ancylobotrys petersiana,DM,SN
252,Red Cabbage Bark Tree,Andira coriacea,M,SN
253,"Green Chireta, Creat, Nilavembu, Kirayat, Chuan Xin Lian, King of Bitters",Andrographis paniculata,M,FSN
254,Bog Rosemary,Andromeda glaucophylla,MWe,S
255,Blue Funnel Lily,Androstephium caeruleum,M,N
256,,Anemone flaccida,M,FS
257,"Wood Anemone, European thimbleweed",Anemone nemorosa,DM,FSN
258,,Anemone stolonifera,M,SN
259,Rue-Anemone,Anemonella thalictroides,M,FS
260,Dong Dang Gui,Angelica acutiloba,M,SN
261,"Angelica, Norwegian angelica",Angelica archangelica,M,SN
262,Purplestem Angelica,Angelica atropurpurea,M,SN
263,,Angelica crucifolia,M,SN
264,,Angelica japonica,M,N
265,,Angelica keiskei,M,SN
266,,Angelica montana,M,SN
267,Dang Gui - Dong Quai - Chinese Angelica,Angelica sinensis,M,SN
268,"Wild Angelica,Woodland angelica",Angelica sylvestris,M,FSN
269,Smooth-Barked Apple,Angophora cordifolia,M,N
270,Rough-Barked Apple,Angophora floribunda,M,N
271,"Brazilian Rosewood, Rosewood-oil tree",Aniba rosaeodora,M,SN
272,Atemoya,Annona atemoya,D,N
273,"Hardshell custard-apple, Posh-te",Annona liebmanniana,MWe,SN
274,Sour Sop,Annona muricata,M,SN
275,"Sugar Apple, Sweetsop, Custard Apple",Annona squamosa,DM,N
276,"Araticum, Pinha da Caatinga, Araticum-da-bahia",Annona vepretorum,D,N
277,African Birch,Anogeissus leiocarpa,M,SN
278,"Bignay, Bignai",Antidesma bunius,M,SN
279,Ground Nut,Apios americana,M,SN
280,,Apium australe,M,S
281,,Apium filiforme,M,S
282,"Wild Celery. Ajmod, Ajwain-ka-patta (Indian)",Apium graveolens,M,S
283,Indian Hemp,Apocynum cannabinum,M,FSN
284,Kendyr,Apocynum pictum,M,FSN
285,,Apocynum venetum,M,SN
286,"Agar Wood, Agarwood",Aquilaria crassna,M,N
287,"Agar Wood, Eaglewood, Indian Aloewood, Aloeswood",Aquilaria malaccensis,M,SN
288,"Agar Wood, Pak Muk Heung, White Wood Incense",Aquilaria sinensis,M,N
289,,Aquilegia buergeriana,M,SN
290,"Columbine,  Yellow columbine",Aquilegia flavescens,M,SN
291,Columbine,Aquilegia formosa truncata,M,SN
292,"Thale Cress, Mouseear cress",Arabidopsis thaliana,DM,SN
293,"Alpine Rock Cress, Alpine rockcress",Arabis alpina,M,SN
294,"Rock Cress, Wall Rockcress",Arabis caucasica,DM,SN
295,,Arabis pendula,M,FSN
296,Perennial peanut,Arachis glabrata,M,SN
297,Peanut,Arachis hypogaea,M,N
298,"Chinese Angelica Tree, Pumila Spirea, Chinese Astilbe",Aralia chinensis,M,FS
299,Udo,Aralia cordata,M,FS
300,American Spikenard,Aralia racemosa,M,FS
301,"Parana Pine. Brazilian-pine, Candelabra-tree.",Araucaria angustifolia,M,N
302,Monkey Puzzle Tree,Araucaria araucana,M,SN
303,Arizona Maderone,Arbutus arizonica,DM,SN
304,"Madrona, Pacific madrone, Pacific Madrone",Arbutus menziesii,DM,SN
305,Texas Madrone,Arbutus texana,DM,SN
306,"Jengkol, Jiringa",Archidendron jiringa,M,SN
307,"Great Burdock, Gobo",Arctium lappa,M,SN
308,Alpine Bearberry,Arctostaphylos alpina,M,SN
309,Hairy Manzanita,Arctostaphylos columbiana,M,SN
310,"Manzanita, Whiteleaf manzanita, Konocti manzanita, Contra Costa manzanita, Roof's manzanita, Wieslan",Arctostaphylos manzanita,DM,SN
311,Pine-Mat Manzanita,Arctostaphylos nevadensis,M,SN
312,"Downy Manzanita, Woollyleaf manzanita,  Brittleleaf manzanita, Dacite manzanita, Rosy manzanita, San",Arctostaphylos tomentosa,M,SN
313,Bearberry,Arctostaphylos uva-ursi,M,FSN
314,Solitary Sugar Palm,Arenga pinnata,M,SN
315,"Argan Tree, Spiny Argania, Morocco Ironwood",Argania spinosa,M,N
316,"White Prickly Poppy, Bluestem pricklypoppy",Argemone albiflora,DM,N
317,"Prickly Poppy, Mexican pricklypoppy",Argemone mexicana,DM,N
318,,Arisaema jacquemontii,M,FSN
319,,Arisaema peninsulare,M,FSN
320,,Arisaema ringens,M,FSN
321,,Arisaema serratum,M,FSN
322,Arisaema,Arisaema tortuosum,M,FSN
323,"Jack In The Pulpit, Dragonroot, Indian Turnip",Arisaema triphyllum,M,FSN
324,Ma Dou Ling,Aristolochia contorta,M,SN
325,Ma Dou Ling,Aristolochia debilis,M,SN
326,,Aristolochia kaempferi,M,SN
327,Macqui,Aristotelia chilensis,M,N
328,,Aristotelia serrata,M,SN
329,Macachi,Arjona patagonica,DM,SN
330,"Sea Thrift, Thrift seapink, California seapink, Interior seapink, Siberian sea thrift",Armeria maritima,DM,N
331,"Horseradish, Red Cole",Armoracia rusticana,M,SN
332,Mountain Tobacco,Arnica angustifolia alpina,M,SN
333,"Arnica, Mountain arnica",Arnica montana,M,SN
334,"Peruvian Parsnip, Arracacha",Arracacia xanthorrhiza,M,SN
335,Southernwood,Artemisia abrotanum,DM,SN
336,"Wormwood, Absinthium.",Artemisia absinthium,DM,SN
337,,Artemisia campestris glutinosa,DM,SN
338,"Russian Tarragon, Tarragon,  French Tarragon",Artemisia dracunculoides,DM,SN
339,"Russian Wormwood, Gmelin's wormwood",Artemisia gmelinii,DM,N
340,,Artemisia indica,DM,SN
341,,Artemisia japonica,DM,SN
342,,Artemisia lancea,DM,SN
343,White Sage,Artemisia ludoviciana gnaphalodes,DM,SN
344,Mexican White Sagebrush,Artemisia mexicana,DM,N
345,"Mountain Sagewort, Michaux's wormwood",Artemisia michauxiana,DM,SN
346,Black Sagebrush,Artemisia nova,DM,SN
347,Redstem wormwood,Artemisia scoparia,DM,N
348,"Wormwood, Tilesius' wormwood",Artemisia tilesii,DM,SN
349,"Threetip Sage Brush, Wyoming threetip sagebrush",Artemisia tripartita,DM,N
350,Alpine Wormwood,Artemisia umbelliformis,DM,N
351,"Mugwort, Common wormwood, Felon Herb, Chrysanthemum Weed, Wild Wormwood",Artemisia vulgaris,DM,SN
352,Pale Vanilla Lily,Arthropodium milleflorum,M,N
353,Breadfruit,Artocarpus altilis,M,N
354,Jackfruit,Artocarpus heterophyllus,M,SN
355,Champedak,Artocarpus integer,M,N
356,"Marang, Terap",Artocarpus odoratissimus,M,N
357,,Arum dioscoridis,M,FSN
358,"Italian lords and ladies, Italian Arum",Arum italicum,DM,FSN
359,"Goat's Beard, Bride's feathers",Aruncus dioicus,DMWe,SN
360,"Canebrake bamboo, Cane Reed, Giant cane",Arundinaria gigantea,M,SN
361,"Giant Reed, Giant Reed Grass",Arundo donax,MWe,N
362,,Asarum arifolium,M,FS
363,"Asarabacca, European Wild  Ginger",Asarum europaeum,M,FS
364,,Asarum nipponicum,M,FS
365,,Asarum reflexum,M,FS
366,"Asarabacca, Mottled Wild Ginger",Asarum shuttleworthii,M,FS
367,Chinese Wild Ginger,Asarum splendens,DM,FS
368,"Antelope Horns, Spider milkweed, Trailing Milkweed",Asclepias asperula,DM,SN
369,Blood Flower,Asclepias currasavica,M,N
370,,Asclepias decumbens,DM,SN
371,Woollypod Milkweed,Asclepias eriocarpa,DM,SN
372,"Purple Silkweed, Fewflower milkweed",Asclepias lanceolata,DM,SN
373,,Asclepias mexicana,DM,SN
374,"Common Milkweed, Silkweed, Milkweed",Asclepias syriaca,DM,SN
375,Papaw,Asimina triloba,M,SN
376,Chinese Asparagus,Asparagus cochinchinensis,M,SN
377,"Asparagus, Garden asparagus",Asparagus officinalis,M,SN
378,,Asparagus schoberioides,M,SN
379,"Asparagus Fern, Common asparagus fern, Plumosa Fern",Asparagus setaceus,M,N
380,,Asparagus stipularis,DM,N
381,"King's Spear, Yellow Asphodel, Jacob's Rod",Asphodeline lutea,DM,SN
382,,Asphodelus aestivus,DM,SN
383,"Asphodel, Gamón-blanco",Asphodelus albus,DM,SN
384,Onionweed,Asphodelus fistulosus,DM,SN
385,"Aspidistra, Cast Iron Plant",Aspidistra elatior,DM,FS
386,Guatambu,Aspidosperma album,M,N
387,Eburneum,Aspidosperma eburneum,M,N
388,,Astelia grandis,M,SN
389,,Astelia nervosa,M,SN
390,Ialian Aster,Aster amellus,M,N
391,,Aster hauptii,M,N
392,,Aster kantoensis,M,N
393,White Panicle Aster,Aster lanceolatus,M,SN
394,Purplestem Aster,Aster puniceus,M,SN
395,Astilbe,Astilbe thunbergii,M,SN
396,Indian Milkvetch,Astragalus aboriginorum,D,N
397,"Canadian Milkvetch, Shorttooth Canadian milkvetch, Morton's Canadian milkvetch",Astragalus canadensis,D,N
398,"Ground Plum, Groundplum milkvetch",Astragalus crassicarpus,D,N
399,"Specklepod Milkvetch, Freckled milkvetch",Astragalus diphysus,D,N
400,,Astragalus massiliensis,D,N
401,Huang Qi,Astragalus membranaceus,D,N
402,Painted Milkvetch,Astragalus pictus-filifolius,D,N
403,,Astragalus sirinicus,D,N
404,Great Masterwort,Astrantia major,M,SN
405,"Tucuma. Awarra palm, Tucum palm.",Astrocaryum vulgare,M,N
406,Astronium,Astronium balansae,M,N
407,Candy Carrot,Athamantha turbith,M,N
408,King William Pine,Athrotaxis selaginoides,M,SN
409,"Lady Fern, Common ladyfern, Subarctic ladyfern,  Asplenium ladyfern, Southern Lady Fern, Tatting Fer",Athyrium filix-femina,M,FS
410,,Athyrium rubripes,MWe,FS
411,Silverscale Saltbush,Atriplex argentea expansa,M,N
412,"Shadscale, Shadscale saltbush",Atriplex confertifolia,DM,N
413,Hastate Orach,Atriplex hastata,DM,N
414,,Atriplex lapathifolia,DM,N
415,Powell's Saltweed,Atriplex powellii,DM,N
416,"Australian Saltbush. Australian saltbush, Creeping saltbush",Atriplex semibaccata,DM,N
417,"Bractscale, Davidson's bractscale",Atriplex serenana,DM,N
418,"Deadly Nightshade, Belladonna",Atropa bella-donna,M,FSN
419,Wine Palm,Attalea butyracea,DM,N
420,"Bahia Piassava, Conquilla Nut, Piassaba Palm",Attalea funifera,DM,N
421,"Inaja, Maripa Palm",Attalea maripa,M,SN
422,"Babassu, American Oil Palm, Motacu, Motacuchi",Attalea speciosa,M,N
423,"Aubretia, Lilacbush,  False Rockcress",Aubrieta deltoidea,DM,SN
424,"Golden Alyssum, Basket of gold",Aurinia saxatilis,DM,N
425,Abyssinian Oat,Avena abyssinica,DM,N
426,Hungarian Oat,Avena orientalis,DM,N
427,"Oats, Common oat",Avena sativa,DM,N
428,"Carambola, Star Fruit",Averrhoa carambola,M,N
429,Neem,Azadirachta indica,DM,SN
430,"Azolla, Pacific mosquitofern",Azolla filiculoides,Wa,SN
431,"Herb of Grace, Brahmi, Smooth Water Hyssop",Bacopa monnieri,MWe,SN
432,"African Pearwood, False Shea Butternut",Baillonella toxisperma,M,SN
433,"Desert Date. Desert date, Soapberry tree",Balanites aegyptiaca,MWe,N
434,Clumping Bamboo. Long pipe bamboo.,Bambusa atra,MWe,N
435,Giant Thorny Bamboo,Bambusa bambos,M,SN
436,"Nodding Bamboo, Mai bong",Bambusa nutans,M,SN
437,"Burmese bamboo, Jama Betua",Bambusa polymorpha,M,SN
438,Common Bamboo,Bambusa vulgaris,M,SN
439,American Yellowrocket,Barbarea orthoceras,M,SN
440,American Sloughgrass,Beckmannia syzigachne,MWeWa,SN
441,"Allegheny Barberry, American barberry",Berberis canadensis,DM,SN
442,Arizona beggarticks,Bidens aurea,M,N
443,Appleberry,Billardiera longiflora,M,SN
444,"Annatto (Lipstick Plant, Urucum, Colorau, Achiote )",Bixa orellana,M,SN
445,"Akee, ackee apple or ayee",Blighia sapida,M,N
446,"African Fan Palm, Palmyra Palm",Borassus aethiopum,M,N
447,African Fan Palm,Borassus akeassii,DM,N
448,Borojo,Borojoa patinoi,M,FS
449,"Aizen, Boscia",Boscia senegalensis,M,FSN
450,Alcornoco,Bowdichia virgilioides,DM,N
451,Apak Palm,Brahea dulcis,DM,N
452,Abyssinian Cabbage,Brassica carinata,M,SN
453,"Ananas pingouin, Karatas, Camburito",Bromelia karatas,M,N
454,Pinuela. Pinguin,Bromelia pinguin,DM,SN
455,Ripgut Brome,Bromus rigidus,DM,N
456,Breadnut. Maya nut,Brosimum alicastrum,M,SN
457,Bastard Breadnut,Brosimum guianense,DM,SN
458,"Almondette, Charoli Nut",Buchanania lanzan,DM,N
459,"Field Gromwell, Corn gromwell",Buglossoides arvensis,M,SN
460,Maori Onion,Bulbinella hookeri,DM,SN
461,Ameixa Do Peru,Bunchosia armeniaca,M,SN
